time,open,high,low,close,tick_volume,spread,real_volume,news_impact,news_event,news_currency,minutes_from_news,label
2025-06-18 17:15:00,1.1505,1.15064,1.15006,1.15023,399,9,0,High,Unemployment Claims,USD,-45.0,1.0
2025-06-18 17:30:00,1.15021,1.15021,1.14877,1.14929,612,9,0,High,Unemployment Claims,USD,-30.0,1.0
2025-06-18 17:45:00,1.14929,1.15006,1.14916,1.1498,627,9,0,High,Unemployment Claims,USD,-15.0,0.0
2025-06-18 18:00:00,1.14983,1.15289,1.14975,1.15154,3723,9,0,High,Unemployment Claims,USD,0.0,-1.0
2025-06-18 18:15:00,1.15156,1.1518,1.15059,1.15121,2241,9,0,High,Unemployment Claims,USD,15.0,-1.0
2025-06-18 18:30:00,1.15119,1.15167,1.14959,1.14974,3053,9,0,High,Unemployment Claims,USD,30.0,-1.0
2025-06-18 18:45:00,1.14973,1.15015,1.14736,1.14743,2708,9,0,High,Unemployment Claims,USD,45.0,1.0
2025-06-18 19:00:00,1.14746,1.14846,1.14605,1.14843,3034,9,0,High,Unemployment Claims,USD,60.0,-1.0
2025-06-18 22:45:00,1.1483,1.14832,1.14749,1.148,323,9,0,High,FOMC Statement,USD,-45.0,0.0
2025-06-18 23:00:00,1.148,1.14814,1.14764,1.14809,367,9,0,High,FOMC Statement,USD,-30.0,-1.0
2025-06-18 23:15:00,1.14807,1.14812,1.14717,1.14724,419,9,0,High,FOMC Statement,USD,-15.0,0.0
2025-06-18 23:30:00,1.14724,1.14792,1.14707,1.14777,494,9,0,High,FOMC Statement,USD,0.0,0.0
2025-06-18 23:45:00,1.14778,1.14794,1.14734,1.14758,437,9,0,High,FOMC Statement,USD,15.0,0.0
2025-06-19 00:00:00,1.14756,1.14787,1.1474,1.14764,720,9,0,High,FOMC Press Conference,USD,0.0,0.0
2025-06-19 00:15:00,1.14766,1.14786,1.14737,1.14775,648,9,0,High,FOMC Press Conference,USD,15.0,-1.0
2025-06-19 00:30:00,1.14776,1.14803,1.14752,1.14801,612,9,0,High,FOMC Press Conference,USD,30.0,-1.0
2025-06-19 00:45:00,1.148,1.14832,1.14761,1.14808,676,9,0,High,FOMC Press Conference,USD,45.0,-1.0
2025-06-23 11:30:00,1.14657,1.14683,1.14605,1.14675,744,9,0,Medium,FOMC Member Waller Speaks,USD,-60.0,-1.0
2025-06-23 11:45:00,1.14676,1.14744,1.14601,1.14723,1061,9,0,Medium,FOMC Member Waller Speaks,USD,-45.0,-1.0
2025-06-23 12:00:00,1.14722,1.14776,1.14668,1.1471,1074,9,0,Medium,FOMC Member Waller Speaks,USD,-30.0,0.0
2025-06-23 12:15:00,1.14712,1.14712,1.1462,1.14624,795,9,0,Medium,FOMC Member Waller Speaks,USD,-15.0,1.0
2025-06-23 12:30:00,1.14622,1.14648,1.14566,1.14643,1026,9,0,Medium,FOMC Member Waller Speaks,USD,0.0,0.0
2025-06-23 12:45:00,1.14644,1.14676,1.14589,1.14671,935,9,0,High,French Flash Manufacturing PMI,EUR,0.0,1.0
2025-06-23 13:00:00,1.14672,1.14733,1.14643,1.14674,1151,9,0,High,German Flash Manufacturing PMI,EUR,0.0,1.0
2025-06-23 13:15:00,1.14675,1.14712,1.14647,1.1469,761,9,0,High,German Flash Manufacturing PMI,EUR,15.0,1.0
2025-06-23 13:30:00,1.1469,1.14894,1.14662,1.14876,1350,9,0,Medium,Flash Manufacturing PMI,EUR,0.0,1.0
2025-06-23 13:45:00,1.14874,1.14936,1.14839,1.14891,1455,9,0,Medium,Flash Manufacturing PMI,EUR,15.0,1.0
2025-06-23 17:30:00,1.15578,1.15686,1.15575,1.15661,1303,9,0,Medium,ECB President Lagarde Speaks,EUR,-60.0,0.0
2025-06-23 17:45:00,1.15663,1.15731,1.15635,1.15688,1004,9,0,Medium,ECB President Lagarde Speaks,EUR,-45.0,0.0
2025-06-23 18:00:00,1.15688,1.15745,1.15667,1.15704,918,9,0,Medium,ECB President Lagarde Speaks,EUR,-30.0,0.0
2025-06-23 18:15:00,1.15704,1.15775,1.15678,1.15702,955,9,0,Medium,ECB President Lagarde Speaks,EUR,-15.0,1.0
2025-06-23 18:30:00,1.157,1.15759,1.15659,1.15737,943,9,0,Medium,ECB President Lagarde Speaks,EUR,0.0,0.0
2025-06-23 18:45:00,1.15739,1.15775,1.15696,1.15738,837,9,0,Medium,ECB President Lagarde Speaks,EUR,15.0,0.0
2025-06-23 19:00:00,1.15736,1.15773,1.15723,1.15761,654,9,0,High,Flash Manufacturing PMI,USD,-15.0,0.0
2025-06-23 19:15:00,1.15759,1.15764,1.15699,1.15718,552,9,0,High,Flash Manufacturing PMI,USD,0.0,1.0
2025-06-23 19:30:00,1.15718,1.15771,1.15701,1.15752,482,9,0,Medium,Existing Home Sales,USD,0.0,1.0
2025-06-23 19:45:00,1.15751,1.15783,1.15734,1.15779,485,9,0,Medium,Existing Home Sales,USD,15.0,1.0
2025-06-23 20:00:00,1.15779,1.15797,1.15743,1.15781,323,9,0,Medium,Existing Home Sales,USD,30.0,1.0
2025-06-24 12:30:00,1.16003,1.16108,1.15932,1.16056,1208,9,0,Medium,German ifo Business Climate,EUR,-60.0,-1.0
2025-06-24 12:45:00,1.16056,1.16067,1.15982,1.16004,818,9,0,Medium,German ifo Business Climate,EUR,-45.0,-1.0
2025-06-24 13:00:00,1.16005,1.1603,1.15895,1.15917,934,9,0,Medium,German ifo Business Climate,EUR,-30.0,0.0
2025-06-24 13:15:00,1.15919,1.15945,1.15823,1.15829,1143,9,0,Medium,German ifo Business Climate,EUR,-15.0,1.0
2025-06-24 13:30:00,1.15827,1.1588,1.15818,1.15835,1225,9,0,Medium,German ifo Business Climate,EUR,0.0,1.0
2025-06-24 13:45:00,1.15836,1.1592,1.15832,1.15915,1024,9,0,Medium,German ifo Business Climate,EUR,15.0,1.0
2025-06-24 14:00:00,1.15916,1.16076,1.15903,1.16067,1310,9,0,Medium,German ifo Business Climate,EUR,30.0,1.0
2025-06-24 14:15:00,1.16066,1.16416,1.16066,1.1633,2962,9,0,Medium,German ifo Business Climate,EUR,45.0,-1.0
2025-06-24 18:30:00,1.16237,1.16238,1.16195,1.16217,371,9,0,Medium,ECB President Lagarde Speaks,EUR,0.0,-1.0
2025-06-24 19:30:00,1.16193,1.16202,1.16171,1.16173,340,9,0,Medium,CB Consumer Confidence,USD,0.0,-1.0
2025-06-24 19:45:00,1.16172,1.1618,1.16118,1.16123,334,9,0,Medium,CB Consumer Confidence,USD,15.0,1.0
2025-06-24 20:00:00,1.16126,1.16154,1.16098,1.16099,336,9,0,Medium,CB Consumer Confidence,USD,30.0,1.0
