time,open,high,low,close,tick_volume,spread,real_volume
2025-06-10 18:30:00,144.957,144.958,144.903,144.914,360,9,0
2025-06-10 18:45:00,144.914,144.98,144.903,144.954,596,9,0
2025-06-10 19:00:00,144.954,145.03,144.923,144.925,621,9,0
2025-06-10 19:15:00,144.925,144.932,144.839,144.888,515,9,0
2025-06-10 19:30:00,144.888,144.903,144.782,144.8,521,9,0
2025-06-10 19:45:00,144.8,144.912,144.781,144.899,627,9,0
2025-06-10 20:00:00,144.887,144.921,144.846,144.853,330,9,0
2025-06-10 20:15:00,144.858,144.917,144.855,144.879,275,9,0
2025-06-10 20:30:00,144.879,144.916,144.864,144.9,242,9,0
2025-06-10 20:45:00,144.893,144.901,144.85,144.864,400,9,0
2025-06-10 21:00:00,144.848,144.867,144.727,144.818,159,38,0
2025-06-10 21:15:00,144.818,144.854,144.792,144.851,134,38,0
2025-06-10 21:30:00,144.852,144.856,144.829,144.845,100,38,0
2025-06-10 21:45:00,144.845,144.854,144.804,144.841,181,38,0
2025-06-10 22:00:00,144.87,144.904,144.821,144.875,175,9,0
2025-06-10 22:15:00,144.875,144.876,144.849,144.868,203,9,0
2025-06-10 22:30:00,144.869,144.912,144.859,144.897,232,9,0
2025-06-10 22:45:00,144.897,144.951,144.875,144.949,331,9,0
2025-06-10 23:00:00,144.962,145.082,144.812,144.943,1613,9,0
2025-06-10 23:15:00,144.943,145.16,144.924,144.966,1459,9,0
2025-06-10 23:30:00,144.967,144.988,144.821,144.825,1038,9,0
2025-06-10 23:45:00,144.825,144.872,144.792,144.84,900,9,0
2025-06-11 00:00:00,144.838,144.96,144.807,144.907,1782,9,0
2025-06-11 00:15:00,144.905,144.911,144.65,144.804,2411,9,0
2025-06-11 00:30:00,144.802,144.861,144.724,144.815,1473,9,0
2025-06-11 00:45:00,144.816,144.924,144.737,144.921,1641,9,0
2025-06-11 01:00:00,144.923,144.984,144.842,144.957,1101,9,0
2025-06-11 01:15:00,144.958,144.961,144.839,144.849,946,9,0
2025-06-11 01:30:00,144.846,144.945,144.838,144.913,923,9,0
2025-06-11 01:45:00,144.913,145.034,144.91,145.003,1104,9,0
2025-06-11 02:00:00,145.003,145.147,145.0,145.081,989,9,0
2025-06-11 02:15:00,145.081,145.103,144.987,145.016,741,9,0
2025-06-11 02:30:00,145.016,145.017,144.848,144.889,759,9,0
2025-06-11 02:45:00,144.889,144.973,144.868,144.945,606,9,0
2025-06-11 03:00:00,144.945,144.988,144.929,144.966,666,9,0
2025-06-11 03:15:00,144.966,145.051,144.92,145.043,644,9,0
2025-06-11 03:30:00,145.045,145.059,144.927,144.952,596,9,0
2025-06-11 03:45:00,144.952,145.03,144.948,145.003,508,9,0
2025-06-11 04:00:00,145.004,145.07,144.983,144.985,585,9,0
2025-06-11 04:15:00,144.988,145.055,144.885,144.982,844,9,0
2025-06-11 04:30:00,144.985,145.048,144.962,144.976,701,9,0
2025-06-11 04:45:00,144.976,145.047,144.957,145.032,573,9,0
2025-06-11 05:00:00,145.032,145.098,145.004,145.086,699,9,0
2025-06-11 05:15:00,145.087,145.14,145.036,145.057,729,9,0
2025-06-11 05:30:00,145.058,145.08,144.998,145.044,730,9,0
2025-06-11 05:45:00,145.042,145.08,144.971,144.98,787,9,0
2025-06-11 06:00:00,144.982,145.127,144.963,145.103,896,9,0
2025-06-11 06:15:00,145.101,145.244,145.083,145.218,1067,9,0
2025-06-11 06:30:00,145.218,145.224,145.072,145.078,834,9,0
2025-06-11 06:45:00,145.077,145.147,145.054,145.124,738,9,0
2025-06-11 07:00:00,145.126,145.197,145.085,145.165,1053,9,0
2025-06-11 07:15:00,145.164,145.241,145.15,145.165,869,9,0
2025-06-11 07:30:00,145.165,145.186,145.119,145.131,837,9,0
2025-06-11 07:45:00,145.131,145.144,145.079,145.12,773,9,0
2025-06-11 08:00:00,145.12,145.145,145.033,145.07,903,9,0
2025-06-11 08:15:00,145.07,145.097,145.047,145.058,702,9,0
2025-06-11 08:30:00,145.058,145.09,144.997,145.032,706,9,0
2025-06-11 08:45:00,145.032,145.085,145.022,145.065,603,9,0
2025-06-11 09:00:00,145.067,145.08,144.948,144.953,867,9,0
2025-06-11 09:15:00,144.952,145.029,144.917,144.977,742,9,0
2025-06-11 09:30:00,144.978,145.024,144.939,145.016,743,9,0
2025-06-11 09:45:00,145.017,145.094,145.016,145.078,587,9,0
2025-06-11 10:00:00,145.076,145.083,145.043,145.062,703,9,0
2025-06-11 10:15:00,145.064,145.116,145.047,145.113,607,9,0
2025-06-11 10:30:00,145.113,145.161,145.11,145.133,571,9,0
2025-06-11 10:45:00,145.134,145.158,145.082,145.137,627,9,0
2025-06-11 11:00:00,145.139,145.164,145.107,145.145,558,9,0
2025-06-11 11:15:00,145.145,145.22,145.111,145.192,661,9,0
2025-06-11 11:30:00,145.193,145.223,145.17,145.223,728,9,0
2025-06-11 11:45:00,145.223,145.333,145.223,145.281,791,9,0
2025-06-11 12:00:00,145.279,145.462,145.144,145.308,3295,9,0
2025-06-11 12:15:00,145.305,145.305,145.179,145.266,1252,9,0
2025-06-11 12:30:00,145.269,145.396,144.32,144.503,4548,9,0
2025-06-11 12:45:00,144.503,144.727,144.444,144.726,2842,9,0
2025-06-11 13:00:00,144.725,144.819,144.61,144.61,2379,9,0
2025-06-11 13:15:00,144.61,144.929,144.61,144.927,1677,9,0
2025-06-11 13:30:00,144.928,145.126,144.902,145.107,1774,9,0
2025-06-11 13:45:00,145.108,145.18,144.95,145.046,1943,9,0
2025-06-11 14:00:00,145.049,145.086,144.828,144.975,1870,9,0
2025-06-11 14:15:00,144.972,144.982,144.8,144.878,1531,9,0
2025-06-11 14:30:00,144.878,144.953,144.76,144.763,1259,9,0
2025-06-11 14:45:00,144.763,144.822,144.73,144.8,1347,9,0
2025-06-11 15:00:00,144.801,144.842,144.665,144.746,1684,9,0
2025-06-11 15:15:00,144.745,144.778,144.624,144.639,1084,9,0
2025-06-11 15:30:00,144.641,144.658,144.559,144.57,873,9,0
2025-06-11 15:45:00,144.57,144.65,144.46,144.485,1183,9,0
2025-06-11 16:00:00,144.483,144.575,144.437,144.565,1087,9,0
2025-06-11 16:15:00,144.563,144.572,144.486,144.487,877,9,0
2025-06-11 16:30:00,144.485,144.596,144.476,144.578,845,9,0
2025-06-11 16:45:00,144.579,144.625,144.572,144.615,662,9,0
2025-06-11 17:00:00,144.613,144.64,144.53,144.537,795,9,0
2025-06-11 17:15:00,144.539,144.581,144.523,144.575,544,9,0
2025-06-11 17:30:00,144.576,144.651,144.533,144.544,751,9,0
2025-06-11 17:45:00,144.545,144.572,144.51,144.522,637,9,0
2025-06-11 18:00:00,144.521,144.521,144.323,144.345,1187,9,0
2025-06-11 18:15:00,144.345,144.462,144.325,144.442,1177,9,0
2025-06-11 18:30:00,144.442,144.529,144.378,144.516,1289,9,0
2025-06-11 18:45:00,144.515,144.54,144.446,144.506,923,9,0
2025-06-11 19:00:00,144.506,144.597,144.494,144.552,764,9,0
2025-06-11 19:15:00,144.552,144.637,144.507,144.615,669,9,0
2025-06-11 19:30:00,144.612,144.631,144.516,144.549,790,9,0
2025-06-11 19:45:00,144.548,144.645,144.548,144.625,727,9,0
2025-06-11 20:00:00,144.622,144.683,144.605,144.63,377,9,0
2025-06-11 20:15:00,144.629,144.634,144.563,144.582,343,9,0
2025-06-11 20:30:00,144.58,144.608,144.554,144.599,329,9,0
2025-06-11 20:45:00,144.599,144.609,144.361,144.374,256,9,0
2025-06-11 21:00:00,144.349,144.365,144.27,144.276,179,305,0
2025-06-11 21:15:00,144.281,144.528,144.275,144.524,240,38,0
2025-06-11 21:30:00,144.524,144.542,144.468,144.506,221,38,0
2025-06-11 21:45:00,144.489,144.528,144.433,144.521,197,38,0
2025-06-11 22:00:00,144.534,144.536,144.363,144.419,395,9,0
2025-06-11 22:15:00,144.418,144.444,144.367,144.389,283,9,0
2025-06-11 22:30:00,144.392,144.428,144.376,144.394,331,9,0
2025-06-11 22:45:00,144.397,144.42,144.185,144.25,581,9,0
2025-06-11 23:00:00,144.254,144.292,144.113,144.213,1058,9,0
2025-06-11 23:15:00,144.213,144.282,144.18,144.237,820,9,0
2025-06-11 23:30:00,144.239,144.315,144.183,144.201,875,9,0
2025-06-11 23:45:00,144.203,144.253,144.15,144.179,928,9,0
2025-06-12 00:00:00,144.177,144.342,144.095,144.313,1507,9,0
2025-06-12 00:15:00,144.315,144.336,144.09,144.107,1298,9,0
2025-06-12 00:30:00,144.105,144.2,144.054,144.08,1512,9,0
2025-06-12 00:45:00,144.081,144.089,143.954,144.039,2034,9,0
2025-06-12 01:00:00,144.038,144.096,143.892,143.928,1563,9,0
2025-06-12 01:15:00,143.93,143.93,143.78,143.831,1771,9,0
2025-06-12 01:30:00,143.832,143.938,143.721,143.89,1775,9,0
2025-06-12 01:45:00,143.891,143.978,143.826,143.977,1315,9,0
2025-06-12 02:00:00,143.979,144.114,143.971,144.065,1096,9,0
2025-06-12 02:15:00,144.066,144.079,143.942,143.945,1005,9,0
2025-06-12 02:30:00,143.945,144.007,143.905,144.002,912,9,0
2025-06-12 02:45:00,144.001,144.087,143.949,143.952,772,9,0
2025-06-12 03:00:00,143.952,143.991,143.915,143.94,760,9,0
2025-06-12 03:15:00,143.942,144.053,143.919,143.937,678,9,0
2025-06-12 03:30:00,143.936,143.959,143.835,143.905,921,9,0
2025-06-12 03:45:00,143.902,143.902,143.85,143.892,787,9,0
2025-06-12 04:00:00,143.892,144.044,143.886,144.02,774,9,0
2025-06-12 04:15:00,144.02,144.034,143.984,144.016,597,9,0
2025-06-12 04:30:00,144.013,144.042,143.936,143.949,528,9,0
2025-06-12 04:45:00,143.949,143.983,143.91,143.944,638,9,0
2025-06-12 05:00:00,143.944,143.982,143.918,143.97,591,9,0
2025-06-12 05:15:00,143.97,143.979,143.843,143.876,630,9,0
2025-06-12 05:30:00,143.877,143.887,143.772,143.773,770,9,0
